city;zip
Aadorf;8355
Aarau;5000
Aarberg;3270
Aarburg;4663
Aarwangen;4912
Aathal;8607
Aawangen;8522
Abländschen;1657
Abtwil;9030
Abtwil;5646
Achseten;3725
Acla;7185
Acla (Safien);7104
Aclens;1123
Acquacalda;6718
Acquarossa;6716
Adelboden;3715
Adelboden;4806
Adetswil;8345
Adligenswil;6043
Adlikon bei Andelfingen;8452
Adlikon bei Regensdorf;8106
Adliswil;8134
Aebersold (Ringgis);3673
Aedermannsdorf;4714
Aefligen;3426
Aegerten;2558
Aekenmatt;3147
Aesch;6287
Aesch;4147
Aesch (ZH);8904
Aesch bei Maur;8127
Aesch bei Neftenbach;8412
Aeschau;3536
Aeschi;4556
Aeschi bei Spiez;3703
Aeschiried;3703
Aeschlen bei Oberdiessbach;3672
Aeschlen bei Sigriswil;3656
Aetigkofen;4583
Aetingen;4587
Aettenschwil;5645
Aeugst am Albis;8914
Aeugstertal;8914
Aeugustisried;9466
Aeuja;7250
Affeier;7133
Affeltrangen;9556
Affoltern am Albis;8910
Affoltern bei Zürich;8000
Affoltern im Emmental;3416
Agarn;3951
Agarone;6597
Agasul;8308
Ägerten;4923
Agiez;1352
Agno;6982
Agnuzzo;6933
Agra;6927
Agriswil;3216
Aigle;1860
Aïre;1219
Aire-la-Ville;1288
Airolo;6780
Albenried;3930
Alberswil;6248
Albeuve;1669
Albinen;3955
Albis;8135
Albisbrunn;8915
Albisrieden;8000
Albligen;3183
Albonago;6962
Albumo;6958
Alchenflüh;3422
Alchenstorf;3473
Aldesago;6974
Alfermée;2512
Algetshausen;9249
Alikon;5643
All'Acqua;6781
Allaman;1165
Alle;2942
Allenlüften;3205
Allens;1304
Allenwil;3054
Allenwinden;6319
Allerheiligenberg;4615
Allesse;1905
Allières;1669
Alliswil;5706
Allmendingen;3600
Allmendingen bei Bern;3112
Allmendsberg;9428
Allschwil;4123
Allweg;6372
Almens;7416
Alosen;6315
Alp Grüm;7710
Alpnach Dorf;6055
Alpnachstad;6053
Alpthal;8849
Alt St. Johann;9656
Altanca;6776
Altavilla;3280
Altbachs;8164
Altbüron;6147
Altdorf;6460
Altdorf;6460
Altdorf;8243
Alten;8453
Altenburg;5210
Altendorf;8852
Altendorf;9470
Altenklingen;8560
Altenrhein;9423
Alterswil;1715
Alterswil;9230
Alterswilen;8573
Althäusern;5628
Altikon;8479
Altishausen;8573
Altishofen;6246
Altnau;8595
Altreu;2545
Altstalden;5225
Altstätten;9450
Altstetten;8000
Altwis;6286
Alvaneu Bad;7473
Alvaneu Dorf;7492
Alvaschein;7451
Am Bach;7447
Ambrì;6775
Amden;8873
Ämet;8133
Aminona-sur-Sierre;3963
Amlikon;8514
Ammannsegg;4573
Ammenhausen;8506
Ammerswil;5600
Ammerzwil;3257
Amriswil;8580
Amsoldingen;3633
Amsteg;6474
Andeer;7440
Andelfingen;8450
Andermatt;6490
Andhausen;8572
Andiast;7159
Andwil;9204
Andwil;9204
Andwil;8586
Anetswil;9545
Angenstein;4147
Anglikon;5611
Anières;1247
Annunziata;7745
Antagnes;1867
Anwil;4469
Anzeinda;1882
Anzère;1972
Anzonico;6748
Appenzell;9050
Appenzell;9050
Appenzell;9050
Apples;1143
Aproz;1994
Aproz;1994
Aquila;6719
Aran;1091
Aranno;6994
Arare;1212
Araschgen;7062
Arbach;6340
Arbaz;1974
Arbedo;6517
Arboldswil;4424
Arbon;9320
Arcegno;6618
Arch;3296
Arconciel;1732
Ardez;7546
Ardon;1957
Arenenberg;8268
Areuse;2015
Arezen;7104
Argnoud;1966
Arisdorf;4422
Aristau;5628
Arlesheim;4144
Arn;8810
Arnegg;9212
Arnex-sur-Nyon;1277
Arnex-sur-Orbe;1321
Arni;3508
Arni;8905
Arnisäge;3508
Arogno;6822
Arolla;1986
Arosa;7050
Arosio;6939
Arrissoules;1463
Arruffens;1680
Arth;6415
Artore;6500
Arveyes;1884
Arvigo;6543
Arvillard;1991
Arzier;1273
Arzo;6864
Ascharina;7245
Ascona;6612
Asp;5025
Assens;1042
Ast;8572
Astano;6999
Asuel;2954
Athenaz;1285
Attalens;1616
Attelwil;5056
Attikon;8544
Attinghausen;6468
Attisholz;4533
Attiswil;4536
Au;8804
Au;9434
Au;5105
Au;5105
Au;8376
Aubonne;1170
Auboranges;1673
Auddes-sur-Riddes;1914
Auenstein;5105
Augio;6547
Augst;4302
Augwil;8426
Auliens;1867
Aumont;1484
Auressio;6661
Aurigeno;6677
Auslikon;8331
Aussays;1891
Ausserberg;3938
Ausserbinn;3995
Ausserdinhard;8474
Aussereriz;3619
Ausserferrera;7444
Aussersihl;8000
Auswil;4944
Autafond;1782
Autavaux;1475
Autigny;1742
Auvernier;2012
Auw;5644
Avegno;6670
Aven;1976
Avenches;1580
Avenex;1274
Avers;7447
Avry-devant-Pont;1644
Avry-sur-Matran;1754
Avully;1237
Avusy;1285
Axalp;3855
Ayer;3961
Azmoos;9478
Baar;6340
Baar;1996
Bäch;8806
Bächau;8806
Bachenbülach;8184
Bächis;9452
Bachletten;4000
Bächli;9633
Bachs;8164
Bachtel;8342
Bad Knutwil;6213
Bad Knutwil;6213
Bad Ragaz;7310
Bad Zurzach;5330
Baden;5400
Baggwil;3267
Bagnes;1934
Baldegg;6283
Baldingen;5333
Balen;7317
Balerna;6828
Balgach;9436
Ballaigues;1338
Ballens;1144
Ballmoos;3303
Ballwil;6275
Balm bei Günsberg;4525
Balm bei Meiringen;3860
Balm bei Messen;3254
Balmberg;4524
Balsthal;4710
Baltenschwil;8962
Baltenswil;8303
Balterswil;8362
Baltschieder;3937
Balzenwil;4856
Banco;6981
Bangerten bei Dieterswil;3256
Bangerten bei Worb;3076
Bangerten bei Worb;3076
Bänikon;8426
Bänikon;8514
Bänk;8471
Bannwil;4913
Bantigen;3065
Bärau;3552
Barbengo;6917
Barbengo Paese;6917
Barberêche;1783
Bardonnex;1257
Bäretswil;8344
Bärfischenhaus;3204
Bärfischenhaus;3204
Bargen;3282
Bargen;8233
Bäriswil;3323
Barmelweid;5017
Bärschwil;4252
Bärschwil Station;4252
Barzheim;8241
Basadingen;8254
Basel;4000
Bassecourt;2854
Basse-Nendaz;1996
Bassersdorf;8303
Bassins;1269
Bas-Vully;1786
Bätershausen;8573
Bätterkinden;3315
Bättwil;4112
Bauen;6466
Baugy;1815
Baulmes;1446
Bauma;8494
Bavois;1372
Bazenheid;9602
Beatenberg;3803
Beatenbucht;3658
Bebikon;8414
Beckenried;6375
Bedano;6930
Bedigliora;6981
Bedretto;6781
Beggingen;8228
Begnins;1268
Beinwil;4229
Beinwil (Freiamt);5637
Beinwil am See;5712
Beitenwil;3113
Belalp;3914
Belfaux;1782
Belfond;2354
Bellach;4512
Bellechasse;1786
Bellelay;2713
Bellerive;1585
Bellerive;1222
Bellerive;2805
Bellerive;2805
Bellevue;1293
Bellikon;5454
Bellinzona;6500
Bellmund;2564
Bellwald;3997
Belmont-sur-Lausanne;1092
Belmont-sur-Yverdon;1432
Belp;3123
Belpberg;3124
Belprahon;2744
Bémont;2406
Bendlehn;9042
Bendlikon;8802
Bénex;1197
Benglen;8121
Benken;8463
Benken;4105
Benken;8717
Bennau;8836
Bennwil;4431
Benzenschwil;5636
Bercher;1038
Berg;8625
Berg;8471
Berg;9305
Berg;8572
Berg am Irchel;8415
Bergdietikon;8962
Bergün/Bravuogn;7482
Beride;6981
Berikon;8965
Beringen;8222
Berisal;3900
Berken;3376
Berlens;1680
Berlincourt;2854
Berlingen;8267
Bern;3000
Bernau;5325
Berneck;9442
Berneck;9442
Bernex;1233
Bernhardzell;9304
Bernina Suot;7504
Bernrain;8280
Berolle;1149
Beromünster;6215
Berschis;8892
Bertschikon;8614
Bertschikon bei Attikon;8543
Berzona;6661
Besazio;6863
Besenbüren;5627
Besencens;1609
Bethelhausen;8546
Bethlehem;3000
Betlis;8872
Betschwanden;8777
Betten;3991
Bettenhausen;3366
Bettens;1042
Bettingen;4126
Bettlach;2544
